Country,Baseline smoking prevalence (%),Desired smoking prevalence %),Unnamed: 3,Annual smoking-attributable cost-of-illness (Million Local Currency Unit),Smoking-attributable direct cost: health expenditure (Million Local Currency Unit),Smoking-attributable indirect cost: productivity loss (Million Local Currency Unit),Smoking-attributable indirect cost: productivity loss due to morbidity (Million Local Currency Unit),Smoking-attributable indirect cost: productivity loss due to mortality (Million Local Currency Unit),Annual smoking-attributable cost-of-illness (Million USD),Smoking-attributable direct cost: health expenditure (MillionUSD),Smoking-attributable indirect cost: productivity loss (Million USD),Smoking-attributable indirect cost: productivity loss due to morbidity (Million USD),Smoking-attributable indirect cost: productivity loss due to mortality (Million USD),Annual smoking-attributable cost-of-illness (Million PPP$),Smoking-attributable direct cost: health expenditure (Million PPP$),Smoking-attributable indirect cost: productivity loss (Million PPP$),Smoking-attributable indirect cost: productivity loss due to morbidity (Million PPP$),Smoking-attributable indirect cost: productivity loss due to mortality (Million PPP$),Unnamed: 19,Smoking-attributable national economic cost (Million Local Currency Unit),Expected national economic cost recovery from desired smoking reduction (Million Local Currency Unit),Baseline cigarette price per pack (Local Currency Unit),Recommended cigarette price per pack (Local Currency Unit),Baseline totale tax per pack  of cigarettes (Local Currency Unit),Recommended total tax per pack of cigarettes (Local Currency Unit),Baseline cigarette tax revenue (Million Local Currency Unit),Expected cigarette tax revenue (Million Local Currency Unit),Expected cigarette tax revenue gain (Million Local Currency Unit),Unnamed: 29,Smoking-attributable national economic cost (Million USD),Expected national economic cost recovery from desired smoking reduction (Million USD),Baseline cigarette price per pack (USD),Recommended cigarette price per pack (USD),Baseline totale tax per pack  of cigarettes (USD),Recommended total tax per pack of cigarettes (USD),Baseline cigarette tax revenue (Million USD),Expected cigarette tax revenue (Million USD),Expected cigarette tax revenue gain (Million USD),Unnamed: 39,Smoking-attributable national economic cost (Million PPP$),Expected national economic cost recovery from desired smoking reduction (Million PPP$),Baseline cigarette price per pack (PPP$),Recommended cigarette price per pack (PPP$),Baseline totale tax per pack  of cigarettes (PPP$),Recommended total tax per pack of cigarettes (PPP$),Baseline cigarette tax revenue (Million PPP$),Expected cigarette tax revenue (Million PPP$),Expected cigarette tax revenue gain (Million PPP$)
Belize,7.4,6.4,,19.48473929619483,2.763575380018315,16.721163916176515,3.2966902222092327,13.424473693967304,9.742369648097416,1.3817876900091575,8.360581958088257,1.6483451111046163,6.712236846983652,15.555480687419797,2.1357272641308835,13.419753423288915,2.645794881073781,10.773958542215148,,74.20737424891347,10.523503324553113,5.79,9.70216216216216,1.9433333333333336,5.855495495495494,,,,,37.10368679394076,5.261751323724578,2.895,4.85108108108108,0.9716666666666668,2.927747747747747,,,,,57.56904128914554,8.422863385013653,4.5698500394633,7.657586552614177,1.5338068929229154,4.621543406073792,,,
Benin,3.0,2.0,,16195.61575892197,1373.1405903962732,14822.475168525696,2425.258870783574,12397.21629774209,29.219689186239727,2.475876862683805,26.74381232355592,4.375832466496645,22.36797985705922,78.74143087696714,6.849711651121646,71.89171922584549,11.762949696727741,60.128769529117605,,---,---,500,---,66.16704999999999,---,,---,---,,---,---,0.7773375388935553,---,0.10286826360569362,---,,---,---,,---,---,2.4694650644777325,---,0.32679443678910264,---,,---,---
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,5.0,4.0,,959.810667802388,128.13367679167084,831.6769910107173,155.30300997416185,676.3739810365558,13.015152326762006,1.7329565811206158,11.28219574564139,2.106778205185686,9.175417540455708,47.307706364496426,6.357703664585431,40.95000269991099,7.646789254103915,33.30321344580709,,---,---,400,---,49.83974259507776,---,,---,---,,---,---,5.036495707016972,---,0.62754412404735,---,,---,---,,---,---,19.85801519138162,---,2.4742959139690095,---,,---,---
Bolivia (Plurinational State of),10.3,9.3,,1433.26337723637,254.38844866473212,1178.8749285716378,193.11704829723521,985.7578802744029,208.66220294131898,36.814536709802056,171.8476662315169,28.15117469637689,143.69649153514007,549.9764071613066,97.35284323842288,452.6235639228837,74.14639546238392,378.47716846049985,,10352.122558545105,672.7127285333563,15,22.281553398058254,4.719463716814159,12.001017114872413,418.7108209557522,868.0226064844824,449.3117855287302,,1509.0557852239776,98.06308297939455,2.170767004341534,3.224537394798589,0.6829904076431489,1.736760798100204,60.59490896610017,125.61832221193663,65.02341324583645,,3839.090201177468,241.17880846855738,5.980861244019139,8.884191944999303,1.8817638424298881,4.785094543410052,166.95008810037967,346.1015177370344,179.1514296366547
Bosnia and Herzegovina,28.2,27.2,,896.1105881199007,294.91039157039216,601.2001965495085,131.2362711970294,469.9639253524786,541.9129224962961,178.3437921843676,363.56913031192846,79.36367495940296,284.2054553525252,1322.2534438305129,436.62964052980163,885.6238033007113,193.3232329190458,692.3005703816648,,5910.38022680304,140.12544649535394,6,7.063829787234042,5.041794871794872,6.105624659028914,1019.6273858974359,1148.751293696721,129.123907799285,,3344.8435152803313,77.7581624886923,3.128493484390903,3.6831909107013465,2.6288704010076214,3.1835678273180648,531.6496055477762,598.9768229193021,67.32721737152588,,8281.251511821158,187.9104336234371,8.51063829787234,10.019616719480911,7.151482087652301,8.660460509260872,1446.279979996363,1629.4344591442853,183.1544791479223
Botswana,13.2,12.2,,1500.0731886619287,255.74639327559652,1244.326795386332,164.40034262150328,1079.9264527648309,135.29703486271188,23.066693805891465,112.23034105682042,14.82786241579003,97.40247864103057,309.9875531553993,55.26367029272905,254.72388286267025,33.654096152049036,221.06978671062163,,8140.441235621084,608.7803975681799,48,66.18181818181819,26.48369273015873,44.66551091197692,,,,,652.4064778297048,42.30650039669819,3.8469861268062804,5.30417784150563,2.122549969156687,3.5797416838560365,,,,,1608.0317805838638,101.32038090447968,10.243277848911651,14.123307337135763,5.65166298125453,9.531692469478642,,,
Brazil,11.0,10.0,,126952.3640157895,56130.41685746046,70821.94715832904,12440.947574257518,58380.99958407136,23534.12192098985,10405.310810704605,13128.811110285247,2306.2744994886707,10822.536610796544,49514.63870964266,22219.911869849522,27294.726839793148,4794.732131671002,22499.994708122078,,334102.06346027885,24867.51382211042,5.5,8,4.413553499999999,6.913553499999999,12246.132422077497,15853.549522378096,3607.4171003005995,,72780.42070343935,4983.0722489950385,1.060179652261074,1.542079494197926,0.8507562936119355,1.3326561355487874,2360.563711414761,3055.929203588823,695.3654921740617,,135784.4133762179,8561.541351921127,2.1526418786692756,3.1311154598825826,1.72741819960861,2.7058917808219167,4793.0068188170235,6204.9117504415235,1411.9049316245
Brunei Darussalam,14.4,13.4,,167.87079314818334,7.751452386470475,160.11934076171286,34.39066561466707,125.72867514704565,124.92180697399847,5.768278109755373,119.1535288642431,25.59196876832014,93.56156009592284,263.1903303752803,12.115681904854911,251.0746484704254,53.92617930345089,197.14846916697425,,905.6937619562251,49.242589047831764,—,,,,,,,,663.8234077386393,36.40099250965366,—,,,,,,,,1471.833166897896,80.51035348418833,—,,,,,,
Bulgaria,31.1,30.1,,4091.9967100726153,594.8837481247917,3497.112961947824,533.2522834382918,2963.8606785095244,2475.9936828722084,359.79421079278563,2116.199472079423,322.685658992475,1793.5138130869427,5493.2725504927475,827.2242791643971,4666.04827132835,711.4957172939783,3954.552554034361,,19900.045701831164,531.436340983419,5,5.803858520900321,4.263333333333334,5.067191854233655,2488.9126833333335,2771.021733968882,282.10905063554856,,11151.810837321636,290.5777341816008,2.6070180927055633,3.0261528342980974,2.222917427046944,2.642052168639478,1297.7280793228706,1444.8207591474436,147.092679824573,,24897.003879800082,603.6966551271355,6.305170239596468,7.318863204161817,5.376208490962589,6.389901455527937,3138.6036359815043,3494.35275405912,355.74911807761555
Burkina Faso,8.1,7.1,,29068.749610557872,4898.37788151047,24170.3717290474,3409.499266689947,20760.87246235746,52.44337136775367,8.833375456947245,43.60999591080643,6.151674072085369,37.45832183872106,141.23363983447294,23.68589458553618,117.54774524893675,16.58141445733991,100.96633079159683,,232254.7517491034,25816.72801726196,750,1212.962962962963,326.271186440678,789.234149403641,,,,,389.88446465760296,42.08892381463889,1.166006308340333,1.8857632887973286,0.5072456821593538,1.2270026626163495,,,,,1111.8645282529465,128.1293104782446,3.890606519619032,6.29221548234683,1.6925237401732511,4.0941327029010495,,,
Burundi,5.9,4.9,,31696.83355203696,5317.480543592362,26379.3530084446,2971.334007950171,23408.019000494416,16.057952030090995,2.6910994949156746,13.36685253517532,1.5056238681936964,11.86122866698162,47.242932869255036,7.817216980698259,39.42571588855678,4.440858362597023,34.98485752595974,,---,---,2000,---,745.0847457627119,---,,---,---,,---,---,0.9835017580093924,---,0.3663960786618042,---,,---,---,,---,---,2.905460668052571,---,1.0824072115897545,---,,---,---
Cabo Verde,5.5,4.5,,662.5062872423277,126.9206371009231,535.5856501414046,78.64450405256997,456.94114608883393,7.110240788416358,1.3615450802708318,5.748695708145526,0.8441288947843892,4.904566813361129,14.622501380263168,2.7770395803809205,11.845461799882246,1.7393678644665846,10.106093935415647,,---,---,300,---,90.56489497847582,---,,---,---,,---,---,2.7539110585868873,---,0.8313588860032821,---,,---,---,,---,---,6.76818950930626,---,2.043201240349144,---,,---,---
Cambodia,13.5,12.5,,2999121.9135788176,368471.65553115687,2630650.258047661,277906.9789764235,2352743.279071234,723.153856308054,89.89914332683313,633.2547129812208,66.8982521218162,566.3564608594038,2133.087813502012,264.619465688723,1868.4683478132888,197.38860848770904,1671.0797393255775,,6144028.6495186575,446173.38013904827,2100,2877.7777777777774,555.4280670785525,1333.2058448563298,254555.46028243602,523846.79760535,269291.3373229139,,1454.5083352784604,99.48573542577877,0.5121326667479575,0.701811432210164,0.13545374151409645,0.32513250697630286,62.07912700461797,127.75193210714546,65.67280510252749,,4402.70578913673,314.8554637403262,1.5759258564406589,2.1596020995668286,0.4168159296675941,1.000492172793764,191.02882464630673,393.1160538856704,202.08722923936367
Cameroon,4.3,3.3,,85283.54649473129,7788.401062985305,77495.14543174599,10060.88808626511,67434.25734548076,153.86757619147804,14.045031327273103,139.82254486420496,18.152607727596777,121.66993713660796,376.938808001267,34.25298970559301,342.685818295674,44.48954379548261,298.19627450019084,,---,---,700,---,268.49176539555185,---,29540.806487645594,---,---,,---,---,1.0882725544509775,---,0.41741745625152826,---,45.9263556240744,---,---,,---,---,3.151719262857889,---,1.2088723841655458,---,133.0061840678142,---,---
Canada,10.8,9.8,,32506.112195695132,11911.899717662214,20594.212478032918,5673.918445870416,14920.294032162485,25924.48333220804,9500.054102324273,16424.42922988377,4525.100052732483,11899.329177151269,26393.699449674376,9620.677929509151,16773.02152016522,4621.140832540203,12151.880687625,,78198.8395451972,5211.148872039093,13.217,19.33598148148148,8.3710479,14.49002938148148,8406.6667088145,11981.6853155198,3575.0186067053,,59093.23462554643,3981.535996379823,10.306456643792888,15.077964349252557,6.52764184341859,11.299149548878258,6555.416959462335,9343.173202994229,2787.7562435318932,,64108.63353045933,4246.325639780834,10.531474103585658,15.407156558949387,6.6701576892430285,11.545840144606757,6698.539210210757,9547.15961396,2848.6204037492435
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
